0|vctk|p239
1|vctk|p236
2|vctk|p264
3|vctk|p250
4|vctk|p259
5|vctk|p247
6|vctk|p261
7|vctk|p263
8|vctk|p283
9|vctk|p274
10|vctk|p286
11|vctk|p276
12|vctk|p270
13|vctk|p281
14|vctk|p277
15|vctk|p231
16|vctk|p238
17|vctk|p271
18|vctk|p257
19|vctk|p273
20|vctk|p284
21|vctk|p329
22|vctk|p361
23|vctk|p287
24|vctk|p360
25|vctk|p374
26|vctk|p376
27|vctk|p310
28|vctk|p304
29|vctk|p340
30|vctk|p347
31|vctk|p330
32|vctk|p308
33|vctk|p314
34|vctk|p317
35|vctk|p339
36|vctk|p311
37|vctk|p294
38|vctk|p305
39|vctk|p266
40|vctk|p335
41|vctk|p334
42|vctk|p318
43|vctk|p323
44|vctk|p351
45|vctk|p333
46|vctk|p313
47|vctk|p316
48|vctk|p244
49|vctk|p307
50|vctk|p363
51|vctk|p336
52|vctk|p312
53|vctk|p267
54|vctk|p297
55|vctk|p275
56|vctk|p295
57|vctk|p288
58|vctk|p258
59|vctk|p301
60|vctk|p232
61|vctk|p292
62|vctk|p272
63|vctk|p278
64|vctk|p280
65|vctk|p341
66|vctk|p268
67|vctk|p298
68|vctk|p299
69|vctk|p279
70|vctk|p285
71|vctk|p326
72|vctk|p300
73|vctk|s5
74|vctk|p230
75|vctk|p254
76|vctk|p269
77|vctk|p293
78|vctk|p252
79|vctk|p345
80|vctk|p262
81|vctk|p243
82|vctk|p227
83|vctk|p343
84|vctk|p255
85|vctk|p229
86|vctk|p240
87|vctk|p248
88|vctk|p253
89|vctk|p233
90|vctk|p228
91|vctk|p251
92|vctk|p282
93|vctk|p246
94|vctk|p234
95|vctk|p226
96|vctk|p260
97|vctk|p245
98|vctk|p241
99|vctk|p303
100|vctk|p265
101|vctk|p306
102|vctk|p237
103|vctk|p249
104|vctk|p256
105|vctk|p302
106|vctk|p364
107|vctk|p225
108|vctk|p362
